cue_index,memory_seed,target,rho,mask_index,method,alpha,category,converged,convergence_step,stable,stability_radius,final_top_memory,final_max_weight,final_ipr,final_support_size,level,target_ipr
61.0,0.0,61.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,True,0.9394257518906288,35,0.0518189083804325,39.38971481302101,56,middle,8.707332297366008
65.0,0.0,65.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,True,0.9394257518906288,35,0.0518769856548231,39.42928197785263,56,middle,8.707332297366008
70.0,0.0,70.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,True,0.9394257518906288,35,0.0518400080608108,39.400207051785515,56,middle,8.707332297366008
76.0,0.0,76.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,True,0.9394257518906288,35,0.0518819460364167,39.42188526905545,56,middle,8.707332297366008
78.0,0.0,78.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,True,0.94481630169991,35,0.0522307899642886,39.59483688330519,57,middle,8.707332297366008
82.0,0.0,82.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,False,1.0012879807686383,35,0.0544721668991448,40.48758312715136,59,middle,8.707332297366008
84.0,0.0,84.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,True,0.9394257518906288,35,0.0519251016442989,39.44322407094775,56,middle,8.707332297366008
88.0,0.0,88.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,True,0.9394257518906288,35,0.0518728281229319,39.41874475615072,56,middle,8.707332297366008
89.0,0.0,89.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,True,0.9394257518906288,35,0.0518267263944869,39.39307376027637,56,middle,8.707332297366008
90.0,0.0,90.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,True,0.9394257518906288,35,0.0518317857034481,39.39700238277581,56,middle,8.707332297366008
94.0,0.0,94.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,True,0.94481630169991,35,0.0520235596523323,39.49070739006616,57,middle,8.707332297366008
98.0,0.0,98.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,True,0.9394257518906288,35,0.0518568198576359,39.40933998997203,56,middle,8.707332297366008
5.0,0.0,5.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207525,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
8.0,0.0,8.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207525,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
10.0,0.0,10.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207524,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
12.0,0.0,12.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207525,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
13.0,0.0,13.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207524,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
14.0,0.0,14.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207525,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
16.0,0.0,16.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207524,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
17.0,0.0,17.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207525,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
18.0,0.0,18.0,0.1,0.0,softmax,2.5,stable_mixture,True,11,True,0.0790964680207525,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
24.0,0.0,24.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207525,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
27.0,0.0,27.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207524,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
28.0,0.0,28.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207525,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
32.0,0.0,32.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207524,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
39.0,0.0,39.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207525,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
41.0,0.0,41.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207525,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
49.0,0.0,49.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207524,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
54.0,0.0,54.0,0.1,0.0,softmax,2.5,stable_mixture,True,10,True,0.0790964680207525,35,0.0106520783394886,99.93743814459752,100,high,73.16456697633235
