condition_index,condition_id,seed,delta,v_index,v,true_boundary_u,true_normal_u,true_normal_v,sign_transitions
33,delta+0.30_seed001,1,0.3,5,-0.05,0.560423385220929,0.9933111634928732,0.115468318080912,1
33,delta+0.30_seed001,1,0.3,6,0.0,0.5572524321178207,0.9999999681788326,0.0002522743226786,1
33,delta+0.30_seed001,1,0.3,7,0.0499999999999999,0.5603981577878585,0.993512036148576,-0.1137270153829351,1
33,delta+0.30_seed001,1,0.3,8,0.0999999999999999,0.5686994011775823,0.9810721970881344,-0.1936423096863407,1
33,delta+0.30_seed001,1,0.3,9,0.1499999999999999,0.5801359824108658,0.9712501161941668,-0.2380613614025129,1
33,delta+0.30_seed001,1,0.3,10,0.1999999999999999,0.593210220526089,0.9659962277258382,-0.2585561602813801,1
33,delta+0.30_seed001,1,0.3,11,0.2499999999999999,0.606901734994608,0.964572534800158,-0.2638177877043134,1
33,delta+0.30_seed001,1,0.3,12,0.3,0.6205609669123078,0.9646517372857076,-0.2635280359879497,1
34,delta+0.30_seed002,2,0.3,0,-0.3,0.6221775294543477,0.9587640356386098,0.2842033144880028,1
34,delta+0.30_seed002,2,0.3,1,-0.25,0.6073561915691243,0.9596375099655188,0.2812398433138141,1
34,delta+0.30_seed002,2,0.3,2,-0.2,0.5928706463455455,0.9631614585863948,0.26892378975042,1
34,delta+0.30_seed002,2,0.3,3,-0.15,0.5794352456723573,0.970529436568978,0.2409825984445801,1
34,delta+0.30_seed002,2,0.3,4,-0.1,0.5680406319879694,0.9818482601300232,0.1896681156115763,1
34,delta+0.30_seed002,2,0.3,5,-0.05,0.5601177886564983,0.9942310452166734,0.107259632329042,1
34,delta+0.30_seed002,2,0.3,6,0.0,0.5572524321178207,0.9999989549089674,0.0014457458189167,1
34,delta+0.30_seed002,2,0.3,7,0.0499999999999999,0.559973213923513,0.9952717063751422,-0.0971299669984126,1
34,delta+0.30_seed002,2,0.3,8,0.0999999999999999,0.5670115729008103,0.9866190407701552,-0.1630425355230312,1
34,delta+0.30_seed002,2,0.3,9,0.1499999999999999,0.5764985928981332,0.9803699030909228,-0.1971670690391643,1
34,delta+0.30_seed002,2,0.3,10,0.1999999999999999,0.5871230704506161,0.9773941028355234,-0.2114255607592003,1
34,delta+0.30_seed002,2,0.3,11,0.2499999999999999,0.598130149723147,0.9769496572264512,-0.2134698274818235,1
34,delta+0.30_seed002,2,0.3,12,0.3,0.6089737181173405,0.9772817205537194,-0.2119444235443854,1
35,delta+0.30_seed003,3,0.3,0,-0.3,0.6055504055257188,0.9798806630607282,0.1995842833483326,1
35,delta+0.30_seed003,3,0.3,1,-0.25,0.5953662937827175,0.980236599229981,0.1978287378770881,1
35,delta+0.30_seed003,3,0.3,2,-0.2,0.5853686720511178,0.9813746423051364,0.192103647650078,1
35,delta+0.30_seed003,3,0.3,3,-0.15,0.5757913384732092,0.9835548499081828,0.1806096819721792,1
35,delta+0.30_seed003,3,0.3,4,-0.1,0.5670057223906042,0.9878752720795652,0.1552496274189573,1
35,delta+0.30_seed003,3,0.3,5,-0.05,0.560075829460402,0.9952773337232936,0.0970722873772519,1
35,delta+0.30_seed003,3,0.3,6,0.0,0.5572524321178207,0.9999999082375046,0.0004283981586724,1
35,delta+0.30_seed003,3,0.3,7,0.0499999999999999,0.5600329896406038,0.995488779605964,-0.0948793427392303,1
35,delta+0.30_seed003,3,0.3,8,0.0999999999999999,0.5667833625193452,0.9881972376242684,-0.1531868778706757,1
35,delta+0.30_seed003,3,0.3,9,0.1499999999999999,0.5755346397199901,0.9829590496167888,-0.1838246631343544,1
35,delta+0.30_seed003,3,0.3,10,0.1999999999999999,0.5854845142312115,0.9792137062697884,-0.2028312536405187,1
35,delta+0.30_seed003,3,0.3,11,0.2499999999999999,0.596248325848137,0.9766025678100192,-0.2150521437858192,1
35,delta+0.30_seed003,3,0.3,12,0.3,0.6075049502687762,0.9755820676774274,-0.2196352185471066,1
36,delta+0.30_seed004,4,0.3,0,-0.3,0.6089535796927521,0.9766918481714248,0.2146462990957129,1
36,delta+0.30_seed004,4,0.3,1,-0.25,0.59796514462505,0.9770052793427724,0.2132151123545211,1
