rho,method,alpha,median_first_ipr,p10_first_ipr,p90_first_ipr,correct_rate
0.4,softmax,0.7,99.61907050978719,99.55632652309916,99.67155732713587,
0.4,softmax,0.75,99.56273594350442,99.49043951502227,99.62330249387789,0.0
0.4,softmax,0.8,99.50253476415213,99.41997239947978,99.57179777695326,
0.4,softmax,0.9,99.37055623209346,99.26529460181229,99.45908673659636,
0.4,softmax,1.0,99.22318852852982,99.09229384584285,99.33352339767579,0.0
0.4,softmax,1.1,99.060138568272,98.90098259722447,99.19521178784765,
0.4,softmax,1.2,98.88103444502988,98.69138538542383,99.04426058770864,
0.4,softmax,1.3,98.68642744558218,98.46353910955408,98.88078294803836,
0.4,softmax,1.4,98.47639046618215,98.21749333448271,98.70530205420822,
0.4,softmax,1.5,98.25101024940551,97.95412033544912,98.51825987197012,0.0
0.4,softmax,1.6,98.01038733771313,97.6765114588804,98.31936187857757,
0.4,softmax,1.7,97.75661668279386,97.38453865693131,98.10876786282842,
0.4,softmax,1.8,97.48839778759529,97.07659628480894,97.88355111030663,
0.4,softmax,1.9,97.2056347735114,96.75285324721405,97.64515187917058,
0.4,softmax,2.0,96.90845076501239,96.41356315861016,97.39464737907721,0.0
0.4,softmax,2.25,96.10325483538571,95.49905851832338,96.71628525677859,
0.4,softmax,2.5,95.21089307184548,94.48816294598349,95.96961333977725,
0.4,softmax,2.75,94.23370716274792,93.384680288307,95.14827975111237,
0.4,softmax,3.0,93.1742221419668,92.19645470571947,94.24895505151478,0.0
0.4,softmax,3.25,92.03513715390105,90.92493993885911,93.28135788022247,
0.4,softmax,3.5,90.81931750135118,89.57404789046832,92.24829206878476,
0.4,softmax,3.75,89.55273209965121,88.15237663756298,91.15279204263216,
0.4,softmax,4.0,88.24168036348544,86.6657283384386,89.99810400765506,0.0
0.4,softmax,4.5,85.46177823855834,83.51916503705924,87.5250801361202,
0.4,softmax,5.0,82.50235034626816,80.15859805539498,84.85858606669196,
0.4,softmax,5.5,79.36722416719907,76.64802755950053,82.02987098580084,
0.4,softmax,6.0,76.11684489109948,72.9336939913414,79.07122107973845,0.0
0.4,softmax,6.5,72.7994356595872,68.98966065559556,76.0151060665758,
0.4,softmax,7.0,69.35564563932675,64.84365871095778,72.89868301471945,
0.4,softmax,7.5,65.85112303316218,60.62960424526688,69.75224953481268,
0.4,softmax,8.0,62.56449107578147,56.33015300300904,66.59985337457202,0.0
0.4,softmax,8.5,59.34868421964126,51.940200789046436,63.466868513166325,
0.4,softmax,9.0,56.22025284505864,47.622086305127155,60.375842544297896,
0.4,softmax,9.5,53.09874108247139,43.42858020975491,57.34632639017442,
0.4,softmax,10.0,50.02628260340303,39.40667372930285,54.39482418194585,
0.4,softmax,10.5,47.063768340617024,35.59554282254754,51.53484627067004,
0.4,softmax,11.0,44.22131259953243,32.02520129294887,48.77704563618789,
0.4,softmax,11.5,41.50631885954965,28.837434022593673,46.12941720469111,
0.4,softmax,12.0,38.923717425612836,26.037276578244274,43.59754038895169,0.0
0.4,softmax,13.0,34.164623167715774,21.180726079885446,38.89289997631009,
0.4,softmax,14.0,29.981515624259565,17.243340189927462,34.669795743078495,
0.4,softmax,15.0,26.45172481982089,14.10252512507127,30.91351308872107,
0.4,softmax,16.0,23.59851472620405,11.622173268683934,27.59545231163946,
0.4,softmax,17.0,21.173197595233855,9.672761939072931,24.68287276833346,
0.4,softmax,18.0,19.042755031713334,8.141485936912604,22.14974052069487,
0.4,softmax,19.0,17.204781946917887,6.92253097903952,20.01466522122853,
0.4,softmax,20.0,15.626244708084894,5.887102310686561,18.00269598947408,
0.4,softmax,21.0,14.25794447492855,5.062354801166414,16.32852532658199,
0.4,softmax,22.0,12.852198851257974,4.401999628718188,14.948949316523953,
0.4,softmax,23.0,11.528901843967517,3.870056152272431,13.786450372652874,
0.4,softmax,24.0,10.384429786327942,3.4387076850817206,12.764797630323553,
0.4,softmax,26.0,8.716795944706309,2.7968573477572534,11.190595484279022,
0.4,softmax,28.0,7.2987495572616945,2.3569490084266693,9.99461025659367,
0.4,softmax,30.0,6.303483313712325,2.047049605697999,8.97491812572,
0.4,softmax,32.0,5.568272522054263,1.8230688340252912,8.078958036222916,
0.4,softmax,36.0,4.504193280622131,1.532203293980928,6.849214496978967,
0.4,softmax,40.0,3.790126713971447,1.3605760438263654,5.973014528473992,
