condition_index,condition_id,seed,delta,v,true_boundary_u,true_normal_u,true_normal_v,sign_transitions
12,delta-0.15_seed004,4,-0.15,-0.15,0.461152815449168,0.9922444339027917,-0.12430198465402087,1
12,delta-0.15_seed004,4,-0.15,-0.1,0.46716111614659894,0.9945278164077965,-0.10447211298303585,1
12,delta-0.15_seed004,4,-0.15,-0.05000000000000002,0.47165751036664005,0.9981082318241451,-0.06148135949113947,1
12,delta-0.15_seed004,4,-0.15,0.0,0.47332090498821344,0.9999956264668631,-0.0029575407260037903,1
12,delta-0.15_seed004,4,-0.15,0.04999999999999999,0.4719532657327363,0.9989980454204368,0.044753829402037475,1
12,delta-0.15_seed004,4,-0.15,0.09999999999999998,0.46884103342017625,0.9975133776942949,0.07047738162644093,1
12,delta-0.15_seed004,4,-0.15,0.14999999999999997,0.4648879588203272,0.9964922003901231,0.0836856891090147,1
12,delta-0.15_seed004,4,-0.15,0.19999999999999996,0.46044300591165666,0.9958466236216482,0.09104670351728031,1
12,delta-0.15_seed004,4,-0.15,0.24999999999999994,0.45574531563033815,0.9956242679081525,0.09344686807140928,1
12,delta-0.15_seed004,4,-0.15,0.3,0.45105724954919424,0.9956331784364659,0.09335188266179,1
13,delta-0.15_seed005,5,-0.15,-0.3,0.4338062469760189,0.9848394694078246,-0.173468208892911,1
13,delta-0.15_seed005,5,-0.15,-0.25,0.4426131751242792,0.9850667906723177,-0.17217263985471193,1
13,delta-0.15_seed005,5,-0.15,-0.2,0.4512845176359406,0.9860766994068155,-0.16629113893097458,1
13,delta-0.15_seed005,5,-0.15,-0.15,0.45947709037864115,0.988508816655428,-0.1511632210376764,1
13,delta-0.15_seed005,5,-0.15,-0.1,0.46657656344177667,0.9927748064495555,-0.11999243175737113,1
13,delta-0.15_seed005,5,-0.15,-0.05000000000000002,0.47156366136914585,0.9977334222718264,-0.06729054972096422,1
13,delta-0.15_seed005,5,-0.15,0.0,0.47332090498821344,0.9999944400507422,-0.003334646548345649,1
13,delta-0.15_seed005,5,-0.15,0.04999999999999999,0.4718971278780373,0.9988647273577804,0.04763671315767731,1
13,delta-0.15_seed005,5,-0.15,0.09999999999999998,0.46855181946011726,0.9969921934240651,0.0775020403052177,1
13,delta-0.15_seed005,5,-0.15,0.14999999999999997,0.46412354240601417,0.9954613119568622,0.09516709724018502,1
13,delta-0.15_seed005,5,-0.15,0.19999999999999996,0.45899171942437533,0.9943263500233229,0.10637250419773217,1
13,delta-0.15_seed005,5,-0.15,0.24999999999999994,0.4534255955804838,0.9936165098666817,0.11281059932627857,1
13,delta-0.15_seed005,5,-0.15,0.3,0.4476381843123818,0.993367742756904,0.1149805533560071,1
