cue_index,memory_seed,target,rho,mask_index,level,target_ipr,softmax_alpha,sparsemax_alpha,softmax_achieved_ipr,sparsemax_achieved_ipr,pair_relative_error,pair_status,included
44,4,38,0.25,0,high,64.0,4.250384460754898,0.08127916361732641,63.99999999999997,63.999999999999986,2.220446049250314e-16,matched,True
45,4,42,0.25,0,low,4.0,9.652473625541228,1.079701773571888,4.000000000000001,3.999999999999999,4.440892098500626e-16,matched,True
45,4,42,0.25,0,middle,16.0,7.05179083504934,0.37774693948156113,16.0,16.000000000000004,2.220446049250313e-16,matched,True
45,4,42,0.25,0,high,64.0,4.298177230161035,0.08473495524170577,64.00000000000001,63.99999999999997,6.66133814775094e-16,matched,True
46,4,43,0.25,0,low,4.0,10.021339291035158,1.1970112033291596,4.0,4.000000000000001,2.220446049250313e-16,matched,True
46,4,43,0.25,0,middle,16.0,7.292715319762598,0.4020272122405108,15.999999999999996,15.99999999999999,4.440892098500628e-16,matched,True
46,4,43,0.25,0,high,64.0,4.375311250350659,0.08038776111528258,63.99999999999997,63.999999999999986,2.220446049250314e-16,matched,True
47,4,45,0.25,0,low,4.0,9.794089153467157,1.1307285728953083,3.9999999999999964,3.999999999999999,6.661338147750943e-16,matched,True
47,4,45,0.25,0,middle,16.0,7.14770850478459,0.41254356311329765,15.999999999999996,16.000000000000014,1.1102230246251561e-15,matched,True
47,4,45,0.25,0,high,64.0,4.317366218918483,0.07996602165965822,63.99999999999997,63.99999999999997,0.0,matched,True
48,4,47,0.25,0,low,4.0,10.23721725693326,1.259859257959848,3.999999999999999,4.000000000000001,4.440892098500626e-16,matched,True
48,4,47,0.25,0,middle,16.0,7.400069331820208,0.3719281160312775,16.0,15.99999999999995,3.108624468950443e-15,matched,True
48,4,47,0.25,0,high,64.0,4.391745282643399,0.07802743146408728,63.99999999999997,63.99999999999996,2.2204460492503146e-16,matched,True
49,4,48,0.25,0,low,4.0,9.635526367165985,1.1231335461540528,4.000000000000001,4.000000000000002,2.220446049250312e-16,matched,True
49,4,48,0.25,0,middle,16.0,7.051925204182641,0.38734156711902035,15.999999999999993,15.999999999999986,4.440892098500629e-16,matched,True
49,4,48,0.25,0,high,64.0,4.297172204172884,0.08329135630697238,64.00000000000001,64.00000000000011,1.5543122344752178e-15,matched,True
50,4,58,0.25,0,low,4.0,9.640377141622421,1.0999389088982285,4.000000000000002,4.000000000000001,2.220446049250312e-16,matched,True
50,4,58,0.25,0,middle,16.0,7.052392979633513,0.39050394887856044,15.999999999999996,15.99999999999999,4.440892098500628e-16,matched,True
50,4,58,0.25,0,high,64.0,4.297590780604079,0.08424030415742945,64.0,63.99999999999997,4.440892098500627e-16,matched,True
51,4,61,0.25,0,low,4.0,9.583165460006427,1.1242497326785053,4.000000000000003,4.0,6.661338147750936e-16,matched,True
51,4,61,0.25,0,middle,16.0,6.974465552074068,0.37931488852088613,16.0,16.000000000000004,2.220446049250313e-16,matched,True
51,4,61,0.25,0,high,64.0,4.1974465934367196,0.07689997343046288,64.0,64.00000000000001,2.220446049250313e-16,matched,True
52,4,67,0.25,0,low,4.0,9.754905550130754,1.1074793513685686,4.000000000000001,4.000000000000001,0.0,matched,True
52,4,67,0.25,0,middle,16.0,7.139071765537215,0.40620674948476854,16.0,16.0,0.0,matched,True
52,4,67,0.25,0,high,64.0,4.354595930762971,0.08462884367481811,64.0,64.00000000000001,2.220446049250313e-16,matched,True
53,4,69,0.25,0,low,4.0,9.987468922907489,1.1522794173183444,4.0,4.000000000000004,1.1102230246251561e-15,matched,True
53,4,69,0.25,0,middle,16.0,7.249701436166534,0.3900956689796823,16.000000000000007,16.000000000000004,2.220446049250312e-16,matched,True
